,歌名,专辑名,链接,歌词
120,Up2u(《雅芳彩妆》系列广告主题曲),Start自选集,http://www.lycgc.com/lyric-210-45024.html,0.0
121,We Will Get There,Leave,http://www.lycgc.com/lyric-210-45023.html,0.0
122,you love me,乘着风,http://www.lycgc.com/lyric-210-45022.html,0.0
123,一起走到(《唱吧新加坡2002》主题歌),Leave,http://www.lycgc.com/lyric-210-45021.html,0.0
124,不是真的爱我,风筝,http://www.lycgc.com/lyric-210-45020.html,0.0
125,中间地带,我要的幸福,http://www.lycgc.com/lyric-210-45019.html,0.0
126,乘着风,乘着风,http://www.lycgc.com/lyric-210-45018.html,0.0
127,任性,风筝,http://www.lycgc.com/lyric-210-45017.html,0.0
128,和平,同名专辑,http://www.lycgc.com/lyric-210-45016.html,0.0
129,坏天气,我要的幸福,http://www.lycgc.com/lyric-210-45015.html,0.0
130,天空,Start自选集,http://www.lycgc.com/lyric-210-45014.html,0.0
131,天长地久,乘着风,http://www.lycgc.com/lyric-210-45013.html,0.0
132,害怕,我要的幸福,http://www.lycgc.com/lyric-210-45012.html,0.0
133,开始懂了,我要的幸福,http://www.lycgc.com/lyric-210-45011.html,0.0
134,很好,同名专辑,http://www.lycgc.com/lyric-210-45010.html,0.0
135,我要的幸福,我要的幸福,http://www.lycgc.com/lyric-210-45009.html,0.0
136,没时间,Start自选集,http://www.lycgc.com/lyric-210-45008.html,0.0
137,爱从零开始,Leave,http://www.lycgc.com/lyric-210-45007.html,0.0
138,爱情字典,风筝,http://www.lycgc.com/lyric-210-45006.html,0.0
139,牵挂,乘着风,http://www.lycgc.com/lyric-210-45005.html,0.0
140,真的,风筝,http://www.lycgc.com/lyric-210-45004.html,0.0
141,累赘,我要的幸福,http://www.lycgc.com/lyric-210-45003.html,0.0
142,练习,风筝,http://www.lycgc.com/lyric-210-45002.html,0.0
143,终于,同名专辑,http://www.lycgc.com/lyric-210-45001.html,0.0
144,绿光,风筝,http://www.lycgc.com/lyric-210-45000.html,0.0
145,逃亡,风筝,http://www.lycgc.com/lyric-210-44999.html,0.0
146,随堂测验,风筝,http://www.lycgc.com/lyric-210-44998.html,0.0
147,难得一见,我要的幸福,http://www.lycgc.com/lyric-210-44997.html,0.0
148,零缺点,我要的幸福,http://www.lycgc.com/lyric-210-44996.html,0.0
149,我想(2002福乐晶冻系列广告主题曲),Leave,http://www.lycgc.com/lyric-210-44995.html,0.0
150,遇见(向左右向有走主题曲),the moment,http://www.lycgc.com/lyric-210-44994.html,0.0
151,Let’s Vino,Stefanie,http://www.lycgc.com/lyric-210-44993.html,0.0
152,Stefanie,Stefanie,http://www.lycgc.com/lyric-210-44992.html,0.0
153,反过来走走,Stefanie,http://www.lycgc.com/lyric-210-44991.html,0.0
154,同类,Stefanie,http://www.lycgc.com/lyric-210-44990.html,0.0
155,听见,Stefanie,http://www.lycgc.com/lyric-210-44989.html,0.0
156,奔,Stefanie,http://www.lycgc.com/lyric-210-44988.html,0.0
157,慢慢来,Stefanie,http://www.lycgc.com/lyric-210-44987.html,0.0
158,我也很想他,Stefanie,http://www.lycgc.com/lyric-210-44986.html,0.0
159,我的爱,Stefanie,http://www.lycgc.com/lyric-210-44985.html,0.0
160,未知的精采,Stefanie,http://www.lycgc.com/lyric-210-44984.html,0.0
161,祝你开心,Stefanie,http://www.lycgc.com/lyric-210-44983.html,0.0
162,种,Stefanie,http://www.lycgc.com/lyric-210-44982.html,0.0
163,On The Road 2,我要的幸福,http://www.lycgc.com/lyric-210-44981.html,0.0
164,On The Road,我要的幸福,http://www.lycgc.com/lyric-210-44980.html,0.0
165,心愿,完美的一天,http://www.lycgc.com/lyric-210-44979.html,0.0
166,隐形人,完美的一天,http://www.lycgc.com/lyric-210-44978.html,0.0
167,流浪地图,完美的一天,http://www.lycgc.com/lyric-210-44977.html,0.0
168,第一天,完美的一天,http://www.lycgc.com/lyric-210-44976.html,0.0
169,HONEY,完美的一天,http://www.lycgc.com/lyric-210-44975.html,0.0
170,另一张脸,完美的一天,http://www.lycgc.com/lyric-210-44974.html,0.0
171,梦不落,完美的一天,http://www.lycgc.com/lyric-210-44973.html,0.0
172,明天晴天,完美的一天,http://www.lycgc.com/lyric-210-44972.html,0.0
173,眼泪成诗,完美的一天,http://www.lycgc.com/lyric-210-44971.html,0.0
174,Honey Honey,完美的一天,http://www.lycgc.com/lyric-210-44970.html,0.0
175,One United People,One United People,http://www.lycgc.com/lyric-210-44969.html,0.0
176,我的天地,未知,http://www.lycgc.com/lyric-210-44968.html,0.0
177,Everytime A Good Time,麦当劳2002广告曲,http://www.lycgc.com/lyric-210-44967.html,0.0
178,休止符,未完成,http://www.lycgc.com/lyric-210-44966.html,0.0
179,一起走到(中文版),,http://www.lycgc.com/lyric-210-44965.html,0.0
180,就是这样(摩托罗拉手机广告主题曲),Start自选集,http://www.lycgc.com/lyric-210-44964.html,0.0
181,Up2u,Start自选集,http://www.lycgc.com/lyric-210-44963.html,0.0
182,Sometimes Love Just Aint Enough,孙燕姿自选集,http://www.lycgc.com/lyric-210-44962.html,0.0
183,原来你什么都不要,,http://www.lycgc.com/lyric-210-44961.html,0.0
184,我想你不是真的爱我,,http://www.lycgc.com/lyric-210-44960.html,0.0
185,我对你有多重要,,http://www.lycgc.com/lyric-210-44959.html,0.0
186,未来太遥远,,http://www.lycgc.com/lyric-210-44958.html,0.0
187,吻我吧,,http://www.lycgc.com/lyric-210-44957.html,0.0
188,雨天,"My story,Your song 经典全纪录",http://www.lycgc.com/lyric-210-44956.html,0.0
189,梦想天空,RO,http://www.lycgc.com/lyric-210-44955.html,0.0
190,逆光,逆光&lt;抢先听&gt;,http://www.lycgc.com/lyric-210-44954.html,0.0
191,In The Beginning,逆光,http://www.lycgc.com/lyric-210-44953.html,0.0
192,逆光,逆光,http://www.lycgc.com/lyric-210-44952.html,0.0
193,梦游,逆光,http://www.lycgc.com/lyric-210-44951.html,0.0
194,咕叽咕叽,逆光,http://www.lycgc.com/lyric-210-44950.html,0.0
195,我怀念的,逆光,http://www.lycgc.com/lyric-210-44949.html,0.0
196,安宁,逆光,http://www.lycgc.com/lyric-210-44948.html,0.0
197,飘着,逆光,http://www.lycgc.com/lyric-210-44947.html,0.0
198,爱情的花样,逆光,http://www.lycgc.com/lyric-210-44946.html,0.0
199,漩涡,逆光,http://www.lycgc.com/lyric-210-44945.html,0.0
200,需要你,逆光,http://www.lycgc.com/lyric-210-44944.html,0.0
201,关于,逆光,http://www.lycgc.com/lyric-210-44943.html,0.0
202,Afterward,逆光,http://www.lycgc.com/lyric-210-44942.html,0.0
203,RISE(崛起),东南亚国家联盟(Asean)40周年庆典主题曲,http://www.lycgc.com/lyric-210-44941.html,0.0
204,木兰情,电影《花木兰》主题曲,http://www.lycgc.com/lyric-210-44940.html,0.0
205,神奇,未完成,http://www.lycgc.com/lyric-210-44939.html,0.0
206,超快感(变奏版),2010垦丁半岛音乐嘉年华,http://www.lycgc.com/lyric-210-44938.html,0.0
207,我不难过,未完成,http://www.lycgc.com/lyric-210-44937.html,0.0
208,完美的一天,完美的一天,http://www.lycgc.com/lyric-210-44936.html,0.0
209,遇见,The Moment,http://www.lycgc.com/lyric-210-44935.html,0.0
210,志明与春娇(原唱 五月天),2010垦丁半岛音乐嘉年华,http://www.lycgc.com/lyric-210-44934.html,0.0
211,我怀念的,2010垦丁半岛音乐嘉年华,http://www.lycgc.com/lyric-210-44933.html,0.0
212,绿光(变奏版),2010垦丁半岛音乐嘉年华,http://www.lycgc.com/lyric-210-44932.html,0.0
213,The Moment,The Moment,http://www.lycgc.com/lyric-210-44931.html,0.0
214,世说心语,是时候,http://www.lycgc.com/lyric-210-44930.html,0.0
215,当冬夜渐暖,,http://www.lycgc.com/lyric-210-44929.html,0.0
216,空口言,,http://www.lycgc.com/lyric-210-44928.html,0.0
217,愚人的国度,是时候,http://www.lycgc.com/lyric-210-44927.html,0.0
218,快疯了,,http://www.lycgc.com/lyric-210-44926.html,0.0
219,时光小偷,,http://www.lycgc.com/lyric-210-44925.html,0.0
220,是时候,是时候,http://www.lycgc.com/lyric-210-44924.html,0.0
221,明天的记忆,是时候,http://www.lycgc.com/lyric-210-44923.html,0.0
222,追,是时候,http://www.lycgc.com/lyric-210-44922.html,0.0
223,180度,是时候,http://www.lycgc.com/lyric-210-44921.html,0.0
224,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0
227,0.0,0.0,0.0,0.0
228,0.0,0.0,0.0,0.0
229,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,0.0
239,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,0.0
244,0.0,0.0,0.0,0.0
245,0.0,0.0,0.0,0.0
246,0.0,0.0,0.0,0.0
247,0.0,0.0,0.0,0.0
248,0.0,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0
252,0.0,0.0,0.0,0.0
253,0.0,0.0,0.0,0.0
254,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,0.0
256,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0
263,0.0,0.0,0.0,0.0
264,0.0,0.0,0.0,0.0
265,0.0,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0
267,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0
272,0.0,0.0,0.0,0.0
273,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0
276,0.0,0.0,0.0,0.0
277,0.0,0.0,0.0,0.0
278,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0
281,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0
283,0.0,0.0,0.0,0.0
284,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0
286,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0
288,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0
296,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0
